label,title,text,titletext
0,,"Wash your hands. Wear your mask. Practice social distancing. Don’t be stupid. Just because time has passed and people are taking it upon themselves to pretend things are back to normal, doesn’t mean that COVID-19 is gone or that we have all suddenly become immune PEOPLE.",". Wash your hands. Wear your mask. Practice social distancing. Don’t be stupid. Just because time has passed and people are taking it upon themselves to pretend things are back to normal, doesn’t mean that COVID-19 is gone or that we have all suddenly become immune PEOPLE."
0,TheMoreYouKnow,A man in a trump hat just told me that “sauerkraut builds up your immune system enough to fight coronavirus” #TheMoreYouKnow,TheMoreYouKnow. A man in a trump hat just told me that “sauerkraut builds up your immune system enough to fight coronavirus” #TheMoreYouKnow
0,coronavirus,"Scumbag grifter Alex Jones claims his colloidal silver toothpaste kills #coronavirus, despite Jim Bakker being sued over similar product https://t.co/lgmmKkaBrV","coronavirus. Scumbag grifter Alex Jones claims his colloidal silver toothpaste kills #coronavirus, despite Jim Bakker being sued over similar product https://t.co/lgmmKkaBrV"
0,thingsyouhearinIndia,"""Please know putting sesame oil on your body or eating garlic does not prevent coronavirus"" #thingsyouhearinIndia","thingsyouhearinIndia. ""Please know putting sesame oil on your body or eating garlic does not prevent coronavirus"" #thingsyouhearinIndia"
0,,Till date no medicine has been specifically produced for the treatment of COVID 19.Few are under clinical trials nd medical fraternity is trying to treat it with combination of few existing drugs or these under trial ones after getting patients to sign written undertakings.,. Till date no medicine has been specifically produced for the treatment of COVID 19.Few are under clinical trials nd medical fraternity is trying to treat it with combination of few existing drugs or these under trial ones after getting patients to sign written undertakings.
0,,"No, Cocaine Does Not Kill Coronavirus—And More Myths Dispelled: This is only fake news that is spreading quickly on social media. Sesame oil doesn't block coronavirus from entering the body. Sesame oil is a staple in ... https://t.co/fKQU9b4woV",". No, Cocaine Does Not Kill Coronavirus—And More Myths Dispelled: This is only fake news that is spreading quickly on social media. Sesame oil doesn't block coronavirus from entering the body. Sesame oil is a staple in ... https://t.co/fKQU9b4woV"
0,,A friend's dad passed away from COVID and his mom is currently battling it in hospital. And there are people out here who call this a conspiracy smfh. Dickheads deserve to be wiped out.,. A friend's dad passed away from COVID and his mom is currently battling it in hospital. And there are people out here who call this a conspiracy smfh. Dickheads deserve to be wiped out.
0,,There are dozens and dozens of coronavirus conspiracy theories floating around on the internet. From theories like 5G causing the illness and speculations that coronavirus vaccines would have Illuminati microchips in them to theories about how some movie… https://t.co/TFUc4yWP0h,. There are dozens and dozens of coronavirus conspiracy theories floating around on the internet. From theories like 5G causing the illness and speculations that coronavirus vaccines would have Illuminati microchips in them to theories about how some movie… https://t.co/TFUc4yWP0h
0,TrumpMenace2Health SueTrump,And can you please tell the people why it’s a bad idea to take experimental coronavirus cure-alls and prescription meds as prescribed byDoc/Prez/Quack Trump? #TrumpMenace2Health #SueTrump https://t.co/sPkhD7cy3U,TrumpMenace2Health SueTrump. And can you please tell the people why it’s a bad idea to take experimental coronavirus cure-alls and prescription meds as prescribed byDoc/Prez/Quack Trump? #TrumpMenace2Health #SueTrump https://t.co/sPkhD7cy3U
0,,Why doesn't Trump hand out the surplus of hydroxy chloroquine at his rally? Just a thought.,. Why doesn't Trump hand out the surplus of hydroxy chloroquine at his rally? Just a thought.
